Orthogroup,orths,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Gene name,Gene description,Affected Structure or Process 1 superterm Name,Phenotype Keyword Name,Phenotype Tag,Publication ID
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],eye,decreased size,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],eye,decreased size,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],eye,decreased size,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],eye,decreased size,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],eye,decreased diameter,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],eye,mislocalised ventrally,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],eye,decreased size,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],eye,decreased size,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],eye,decreased size,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],eye,mislocalised ventrally,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],eye,decreased diameter,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],eye,decreased diameter,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],eye,mislocalised ventrally,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],eye,decreased size,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],eye,decreased size,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],eye,decreased diameter,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],heart looping,disrupted,abnormal,ZDB-PUB-130410-19
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],interhyal cartilage,absent,abnormal,ZDB-PUB-101122-3
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],Meckel's cartilage,fused with,abnormal,ZDB-PUB-101122-3
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],Meckel's cartilage,bent,abnormal,ZDB-PUB-101122-3
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],Meckel's cartilage,protruding,abnormal,ZDB-PUB-101122-3
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],Meckel's cartilage,bent,abnormal,ZDB-PUB-101122-3
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],neuron differentiation,arrested,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],neuron differentiation,arrested,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],neuron differentiation,arrested,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],neuron differentiation,arrested,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],neuron differentiation,arrested,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],neuron differentiation,arrested,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],neuron differentiation,arrested,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],neuron differentiation,arrested,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],neuron differentiation,decreased rate,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],neuron differentiation,decreased rate,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],optic nerve head,absent,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],optic nerve head,absent,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],optic nerve head,decreased size,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],optic nerve head,decreased size,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],pericardial cavity,increased size,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],pericardial cavity,increased size,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],pericardium,edematous,abnormal,ZDB-PUB-101122-3
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],pharyngeal pouch,malformed,abnormal,ZDB-PUB-130213-8
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],pharyngeal pouch,decreased occurrence,abnormal,ZDB-PUB-130213-8
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],pharyngeal pouch,process quality,abnormal,ZDB-PUB-130213-8
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retina morphogenesis in camera-type eye,disrupted,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retina morphogenesis in camera-type eye,disrupted,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retina morphogenesis in camera-type eye,disrupted,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retina morphogenesis in camera-type eye,disrupted,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retina morphogenesis in camera-type eye,disrupted,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retina morphogenesis in camera-type eye,disrupted,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retina morphogenesis in camera-type eye,disrupted,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retina morphogenesis in camera-type eye,disrupted,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retina morphogenesis in camera-type eye,disrupted,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retina morphogenesis in camera-type eye,disrupted,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal ganglion cell,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal ganglion cell,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal ganglion cell,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal ganglion cell,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal ganglion cell,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal ganglion cell,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal ganglion cell,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal ganglion cell,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal ganglion cell,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal ganglion cell,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal ganglion cell,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal ganglion cell,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal ganglion cell layer,morphology,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal ganglion cell layer,morphology,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal inner nuclear layer,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal inner nuclear layer,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal neural layer,apoptotic,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal neural layer,apoptotic,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal rod cell differentiation,process quality,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal rod cell differentiation,process quality,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal rod cell differentiation,delayed,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],retinal rod cell differentiation,delayed,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],splanchnocranium,decreased length,abnormal,ZDB-PUB-101122-3
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],swim bladder,absent,abnormal,ZDB-PUB-101122-3
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],ventral mandibular arch,decreased size,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],ventral mandibular arch,decreased size,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],ventral mandibular arch,decreased length,abnormal,ZDB-PUB-101122-3
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],whole organism,absent,abnormal,ZDB-PUB-190405-15
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],whole organism,decreased amount,abnormal,ZDB-PUB-190405-15
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],whole organism,decreased size,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],whole organism,decreased size,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000058538,ENSDARG00000058538.5,ENSDART00000101204,ENSDART00000101204.4,alcamb,activated leukocyte cell adhesion molecule b [Source:ZFIN;Acc:ZDB-GENE-030131-1768],axonogenesis involved in innervation,disrupted,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000058538,ENSDARG00000058538.5,ENSDART00000101204,ENSDART00000101204.4,alcamb,activated leukocyte cell adhesion molecule b [Source:ZFIN;Acc:ZDB-GENE-030131-1768],dorsal convergence,delayed,abnormal,ZDB-PUB-091221-5
OG0001823,ENSDARG00000058538,ENSDARG00000058538.5,ENSDART00000101204,ENSDART00000101204.4,alcamb,activated leukocyte cell adhesion molecule b [Source:ZFIN;Acc:ZDB-GENE-030131-1768],forebrain cell migration,delayed,abnormal,ZDB-PUB-091221-5
OG0001823,ENSDARG00000058538,ENSDARG00000058538.5,ENSDART00000101204,ENSDART00000101204.4,alcamb,activated leukocyte cell adhesion molecule b [Source:ZFIN;Acc:ZDB-GENE-030131-1768],forebrain neural keel,physical object quality,abnormal,ZDB-PUB-091221-5
OG0001823,ENSDARG00000058538,ENSDARG00000058538.5,ENSDART00000101204,ENSDART00000101204.4,alcamb,activated leukocyte cell adhesion molecule b [Source:ZFIN;Acc:ZDB-GENE-030131-1768],neuron differentiation,decreased rate,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000058538,ENSDARG00000058538.5,ENSDART00000101204,ENSDART00000101204.4,alcamb,activated leukocyte cell adhesion molecule b [Source:ZFIN;Acc:ZDB-GENE-030131-1768],neuron differentiation,decreased rate,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000058538,ENSDARG00000058538.5,ENSDART00000101204,ENSDART00000101204.4,alcamb,activated leukocyte cell adhesion molecule b [Source:ZFIN;Acc:ZDB-GENE-030131-1768],retinal ganglion cell,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000058538,ENSDARG00000058538.5,ENSDART00000101204,ENSDART00000101204.4,alcamb,activated leukocyte cell adhesion molecule b [Source:ZFIN;Acc:ZDB-GENE-030131-1768],retinal ganglion cell,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000058538,ENSDARG00000058538.5,ENSDART00000101204,ENSDART00000101204.4,alcamb,activated leukocyte cell adhesion molecule b [Source:ZFIN;Acc:ZDB-GENE-030131-1768],retinal ganglion cell axon guidance,disrupted,abnormal,ZDB-PUB-090106-20
OG0000058,ENSDARG00000009484,ENSDARG00000009484.9,ENSDART00000109319,ENSDART00000109319.4,arf1,ADP-ribosylation factor 1 [Source:ZFIN;Acc:ZDB-GENE-010724-5],eye,decreased size,abnormal,ZDB-PUB-090330-11
